neighbour UniProt;neighbour name - universal;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour DisProt IDP;neighbour DisProt disorder content;neighbour in AlphaFold;neighbour AlphaFold average pLLDT;neighbour AlphaFold disorder %;neighbour in IUPred;neighbour IUPred long score;neighbour IUPred long disorder %;neighbour IUPred short score;neighbour IUPred short disorder %;neighbour preclinical target;neighbour MCG target;target UniProt;target name - universal;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;target DisProt IDP;target DisProt disorder content;target AlphaFold average pLLDT;target AlphaFold disorder %;target IUPred long score;target IUPred long disorder %;target IUPred short score;target IUPred short disorder %;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;DisProt neighbour third partner - CSN;target third partner - CSN;DisProt neighbour third partner - SIGNOR;target third partner - SIGNOR;DisProt neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive;neighbour biomarker for target?
P08700;IL3;0;1;1;0;0;1;83.31613553;5.119735756;1;0.249;0;0.226;3.9;0;0;P00533;EGFR;1;1;1;1;1;1;3.39;76.5209094;21.24148211;0.211;11.1;0.181;8.9;0;1;1;0;0;0;1;0;0;0;15;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.032605;20023.93887;2.293713;4161;5.147888;278911.0165;0.002327;22328.08742;0.213382;391241.0227;1;0;1;0;0
P23229;ITGA6;1;1;1;0;0;1;80.21859559;13.3707235;1;0.272;10;0.236;7.3;0;0;P00533;EGFR;1;1;1;1;1;1;3.39;76.5209094;21.24148211;0.211;11.1;0.181;8.9;1;1;1;1;0;0;1;0;0;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.000002;0;0.032605;20023.93887;0.004363;0;5.147888;278911.0165;0.00398;7425.455251;0.213382;391241.0227;1;1;1;0;0
P05412;c-JUN;1;1;1;0;0;1;62.21126752;38.22471012;1;0.577;63.7;0.458;28.7;0;0;Q9NZQ7;CD274;0;1;1;0;1;0;0;88.12120146;2.265925609;0.225;10.7;0.187;4.5;0;1;1;0;0;0;1;0;0;0;13;0;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.023625;3561.268749;0;0;11.105905;104672.4703;0.000127;8321;5.181425;1326205.087;0.000262;2841.651837;1;0;1;1;0
P07948;LYN;1;1;1;1;12.11;1;83.72669978;14.18525703;1;0.239;11.7;0.235;13.9;0;0;P16410;CTLA4;1;1;1;0;1;0;0;79.90385415;8.043981481;0.09;0;0.126;4.5;1;1;1;1;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.000735;1510.02932;0;0;29.131761;27720.7776;5.447412;662.331564;0.328734;131827.0082;0;101.61782;1;1;1;0;0
Q15466;SHP;1;1;1;0;0;1;82.33662928;10.7106599;1;0.136;3.1;0.153;7;1;0;Q92769;HDAC2;0;1;1;1;0;0;0;85.72863661;14.6642655;0.32;26.2;0.281;24.4;0;1;1;0;0;0;1;0;0;0;10;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.011022;0;0;0;0.048174;5954.145766;6.890054;4086.127135;0.013363;60366.35808;0.411088;177848.8753;1;0;0;0;0
P49763;PGF;0;0;1;0;0;1;71.15482955;22.18370884;1;0.342;27.1;0.329;28.5;0;0;P22607;FGFR3;1;1;1;1;0;0;0;75.36963815;21.49926984;0.331;16;0.294;14.5;0;0;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.000103;275.631997;0;0;0.258422;1349.048874;0.000089;1909.878213;0.027517;11546.53622;1;0;1;0;0
P06401;PGR;1;1;1;1;66.13;1;57.70727805;60.50927924;1;0.396;43.2;0.337;29.6;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.21689;263.280683;0.011566;1201.082457;0.536756;410.33571;110.101313;21050.30164;0.012231;33599.56206;0.600493;94610.49431;1;1;1;1;0
Q01196;RUNX1;0;1;1;0;0;1;61.81771357;53.51414407;1;0.549;56.1;0.472;45;0;0;P00519;ABL1;1;1;1;1;0;1;1.5;63.12244709;47.76119403;0.498;45;0.415;40.5;0;1;1;0;0;0;1;0;0;0;4;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0.300277;6504.604944;0.335463;69251.91723;24.845034;307930.868;0.007873;21451.10775;1.719448;104769.6459;1;1;1;1;0
P01737;TRAV8-4;0;0;1;0;0;1;90.75301266;0;1;0.078;0;0.134;5.3;0;0;Q9NZQ7;CD274;0;1;1;0;1;0;0;88.12120146;2.265925609;0.225;10.7;0.187;4.5;0;0;1;0;0;0;1;0;0;0;25;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.000127;8321;0.000199;49.952769;0.000262;2841.651837;0;0;0;0;0
P01850;TRBC1;0;0;1;0;0;1;94.02379207;0;1;0.198;5.1;0.225;7.4;0;0;Q9NZQ7;CD274;0;1;1;0;1;0;0;88.12120146;2.265925609;0.225;10.7;0.187;4.5;0;0;1;0;0;0;1;0;0;0;25;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.000127;8321;0.000199;49.952769;0.000262;2841.651837;0;0;0;0;0
P01733;TRBV12-3;0;0;1;0;0;1;89.78342887;0;1;0.217;3.5;0.266;7;0;0;Q9NZQ7;CD274;0;1;1;0;1;0;0;88.12120146;2.265925609;0.225;10.7;0.187;4.5;0;0;1;0;0;0;1;0;0;0;25;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.000127;8321;0.000236;50.415814;0.000262;2841.651837;0;0;0;0;0
P04435;TRBV7-9;0;0;1;0;0;1;90.87647427;0;1;0.285;11.3;0.347;12.2;0;0;Q9NZQ7;CD274;0;1;1;0;1;0;0;88.12120146;2.265925609;0.225;10.7;0.187;4.5;0;0;1;0;0;0;1;0;0;0;25;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.000127;8321;0.000236;50.415814;0.000262;2841.651837;0;0;0;0;0
P49767;VEGFC;0;1;1;0;0;1;73.73951496;19.85880909;1;0.141;2.4;0.142;2.1;0;0;P22607;FGFR3;1;1;1;1;0;0;0;75.36963815;21.49926984;0.331;16;0.294;14.5;0;1;1;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.000103;275.631997;0.000391;41521.86891;0.258422;1349.048874;0.006839;4486.580582;0.027517;11546.53622;1;1;1;1;0
Q92851;CASP10;1;1;1;0;0;1;69.95198555;33.28502415;1;0.259;14.6;0.244;18.2;0;0;P10415;BCL2;1;1;1;1;0;1;11.72;75.53412714;20.3125;0.287;24.7;0.269;21.3;1;1;1;1;0;0;1;0;0;0;3;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0.039809;3020.470072;0.217898;24527.1748;0.013319;0;8.137781;51550.04317;0.318782;8914.044503;0.009968;121479.0753;0;1;1;0;0
P06493;CDK1;1;1;1;0;0;1;89.3155052;2.910602911;1;0.15;0;0.171;4;0;0;P28074;PSMB5;0;0;1;1;0;0;0;83.01464079;17.46506986;0.15;1.1;0.176;5.3;0;0;1;0;0;0;1;0;0;0;30;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.150517;4877.41062;0;0;385.186682;558970.7224;0;0;2.706579;292310.72;0.36748;16437.18502;1;0;1;1;0
P14921;ETS1;1;1;1;1;9.75;1;65.44690428;44.81690141;1;0.264;3.6;0.285;7.5;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;12;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;3.941643;1190;0.011566;1201.082457;16.681399;20787.76744;110.101313;21050.30164;8.196901;252721.3081;0.600493;94610.49431;1;0;1;0;0
P08620;FGF4;0;1;1;0;0;1;82.70282324;17.74919614;1;0.181;3.9;0.206;9.7;0;0;P17948;FLT1;0;1;1;1;0;0;0;72.92583993;23.75283447;0.235;2.2;0.22;4.9;0;1;1;0;0;0;1;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0.020772;25.156297;4.153857;37.129494;0.024837;4079.656705;0;0.437648;1;0;1;0;0
P07900;Hsp90;1;1;1;0;0;1;85.46772132;8.094917536;1;0.354;22.1;0.286;15.4;0;0;P00533;EGFR;1;1;1;1;1;1;3.39;76.5209094;21.24148211;0.211;11.1;0.181;8.9;1;1;1;1;0;0;1;0;0;0;23;0;0;8;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.000397;2148.054138;0.032605;20023.93887;2.483206;22112.47767;5.147888;278911.0165;0.504829;204957.1216;0.213382;391241.0227;1;1;1;1;0
Q9NWZ3;IRAK4;1;1;1;1;3.91;1;83.86365155;12.11618257;1;0.285;8.9;0.255;11.7;0;0;P21802;FGFR2;1;1;1;1;0;0;0;74.05804221;24.9070632;0.297;9;0.27;13.2;1;1;1;1;0;0;1;0;0;0;40;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.000118;283.477814;4.783907;2643.475173;0.862598;1167.186104;1.796927;25984.10642;0.024424;12198.35443;0.032311;26106.96777;1;1;1;0;0
O60674;JAK2;1;1;1;0;0;1;87.78213107;5.722367276;1;0.19;1.1;0.19;2.1;0;1;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;19;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.001371;7745.244079;0.011566;1201.082457;0.668514;195725.6435;110.101313;21050.30164;0.942425;284291.8298;0.600493;94610.49431;1;1;1;1;0
P21583;KITLG;0;1;1;1;9.89;1;72.42966824;17.69585253;1;0.219;11.7;0.216;11.7;0;0;P11362;FGFR1;0;1;1;1;0;0;0;76.04377134;21.53273348;0.317;15.9;0.281;12.3;0;1;1;0;0;0;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0.000035;0;7.426886;26234.10864;0.004279;9570.114402;0.029301;27132.2124;1;1;1;0;0
Q13094;LCP2;1;1;1;0;0;1;62.80432235;43.76470588;1;0.673;66.2;0.563;65.5;0;0;Q06187;BTK;1;1;1;1;0;0;0;84.98775136;6.557377049;0.246;10.5;0.224;9.9;1;1;1;1;0;0;1;0;0;0;123;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0.000021;163.035259;0.000101;241.087343;0.344906;186.649569;62.859935;13201.72939;0.006472;16081.50088;0.03038;35918.60171;1;0;0;0;0
Q9UDY8;MALT1;0;1;1;1;3.64;1;80.43073054;18.27027027;1;0.228;8.4;0.205;7.5;0;0;O00329;PIK3CD;0;1;1;1;0;0;0;87.98496187;4.20438304;0.166;2.9;0.165;5.2;0;1;1;0;0;0;1;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0.153817;123.42087;4.027468;416.222215;0.009033;385.260298;0.063186;44571.73732;1;1;1;0;0
P36507;MEK2;1;1;1;0;0;1;82.94490892;14.8670298;1;0.34;14.8;0.301;17.8;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;17;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.009856;1046.85429;0.011566;1201.082457;5.269041;998.133173;110.101313;21050.30164;0.024399;12584.3876;0.600493;94610.49431;1;0;0;0;0
P46734;MEK3;1;1;1;0;0;1;81.51620211;11.8010167;1;0.286;13.5;0.271;15.3;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;1;1;1;1;0;0;1;0;0;0;7;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.228149;3733.353573;0.002912;1073.50455;40.232306;2029.119836;0.273997;17983.59937;0.020273;17215.40474;3.155329;37800.27514;1;0;1;0;0
O14807;MRAS;0;1;1;0;0;1;86.87214422;12.56700417;1;0.275;12;0.298;20.7;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;0;1;1;0;0;0;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.002912;1073.50455;0.012829;35.630934;0.273997;17983.59937;0.16656;10540.90707;3.155329;37800.27514;0;0;0;0;0
Q99836;MYD88;1;1;1;0;0;1;81.53912873;3.56223176;1;0.206;6.8;0.196;5.4;0;0;P11362;FGFR1;0;1;1;1;0;0;0;76.04377134;21.53273348;0.317;15.9;0.281;12.3;0;1;1;0;0;0;1;0;0;0;38;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.306786;1970.503611;0;0;8.560067;9838.561413;7.426886;26234.10864;0.127055;46038.77227;0.029301;27132.2124;1;0;1;1;0
Q12968;NFATC3;0;1;1;0;0;1;54.65197434;66.13737075;1;0.518;52.3;0.449;39.2;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;0;1;1;0;0;0;1;0;0;0;7;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.011566;1201.082457;0.31368;2675.039006;110.101313;21050.30164;0.271415;29453.87679;0.600493;94610.49431;1;0;0;0;0
P19838;NFkB;1;1;1;0;0;1;74.49951394;26.15800135;1;0.35;20.2;0.294;15.2;0;0;Q9NZQ7;CD274;0;1;1;0;1;0;0;88.12120146;2.265925609;0.225;10.7;0.187;4.5;0;1;1;0;0;0;1;0;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1.192118;24450.99282;0;0;27.872038;26939.70988;0.000127;8321;2.14551;1180841.319;0.000262;2841.651837;1;1;1;1;0
P19838;NFkB;1;1;1;0;0;1;74.49951394;26.15800135;1;0.35;20.2;0.294;15.2;0;0;O60674;JAK2;1;1;1;1;0;0;0;87.78213107;5.722367276;0.19;1.1;0.19;2.1;1;1;1;1;0;0;1;0;0;0;71;0;0;36;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1.192118;24450.99282;0.001371;7745.244079;27.872038;26939.70988;0.668514;195725.6435;2.14551;1180841.319;0.942425;284291.8298;1;1;1;1;0
O96028;NSD2;0;1;1;1;35.6;1;66.04728095;38.052765;1;0.352;31.5;0.303;25.2;0;0;Q92769;HDAC2;0;1;1;1;0;0;0;85.72863661;14.6642655;0.32;26.2;0.281;24.4;0;1;1;0;0;0;1;0;0;0;5;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0.002836;0;6.890054;4086.127135;0.004249;4517.055209;0.411088;177848.8753;1;1;1;1;0
P01127;PDGFB;0;1;1;1;5.81;1;73.57086006;17.77661248;1;0.385;26.1;0.36;35.3;0;0;P36888;FLT3;0;1;1;1;0;1;3.22;75.52465027;16.08065532;0.155;1.6;0.169;7.2;0;1;1;0;0;0;1;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0.007034;0.563147;8.567216;16370.93424;0.220252;37360.07752;0.015694;6640.645314;1;1;1;1;0
P42336;PI3K;1;1;1;0;0;1;92.61457815;1.100664985;1;0.137;1.6;0.137;2.2;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;22;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.648399;42907.41856;0.011566;1201.082457;13.863189;10899.5637;110.101313;21050.30164;0.23514;177436.6093;0.600493;94610.49431;1;1;1;1;0
P42336;PI3K;1;1;1;0;0;1;92.61457815;1.100664985;1;0.137;1.6;0.137;2.2;0;0;P21802;FGFR2;1;1;1;1;0;0;0;74.05804221;24.9070632;0.297;9;0.27;13.2;1;1;1;1;0;0;1;0;0;0;47;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.648399;42907.41856;4.783907;2643.475173;13.863189;10899.5637;1.796927;25984.10642;0.23514;177436.6093;0.032311;26106.96777;1;1;1;1;1
P42336;PI3K;1;1;1;0;0;1;92.61457815;1.100664985;1;0.137;1.6;0.137;2.2;0;0;P16234;PDGFRA;1;1;1;1;1;0;0;73.4248023;20.43372376;0.238;9.4;0.219;8.3;1;1;1;1;0;0;1;0;0;0;56;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.648399;42907.41856;0.000113;449.284023;13.863189;10899.5637;3.507607;5646.817157;0.23514;177436.6093;0.023628;31057.69387;1;1;1;1;1
Q4LE51;PIK3CA VARIANT PROTEIN;0;0;1;0;0;0;0;0;1;0.138;1.7;0.138;2.3;0;0;P21802;FGFR2;1;1;1;1;0;0;0;74.05804221;24.9070632;0.297;9;0.27;13.2;0;0;1;0;0;0;1;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;4.783907;2643.475173;0;0;1.796927;25984.10642;0.052218;37619.08583;0.032311;26106.96777;0;0;0;0;0
P42338;p110Ia;1;1;1;0;0;1;86.78984016;4.135294799;1;0.133;0.8;0.136;1.4;0;0;P21802;FGFR2;1;1;1;1;0;0;0;74.05804221;24.9070632;0.297;9;0.27;13.2;1;1;1;1;0;0;1;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.000046;3292.251112;4.783907;2643.475173;4.409685;3107.513127;1.796927;25984.10642;0.060926;44104.59058;0.032311;26106.96777;1;0;0;0;0
P27986;PIK3R1;1;1;1;1;1.93;1;83.78741892;8.111318513;1;0.347;13.4;0.289;15.6;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;20;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.000215;762.399806;0.011566;1201.082457;109.596942;48738.69735;110.101313;21050.30164;0.226718;152814.2476;0.600493;94610.49431;1;1;1;1;0
P27986;PIK3R1;1;1;1;1;1.93;1;83.78741892;8.111318513;1;0.347;13.4;0.289;15.6;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;31;0;0;13;0;0;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0.000215;762.399806;0.048995;14008.53255;109.596942;48738.69735;5.827592;86734.95195;0.226718;152814.2476;0.224211;84013.94301;1;1;1;1;0
Q13526;PIN1;1;1;1;1;7.36;1;92.65670008;4.290171607;1;0.502;41.7;0.489;38.7;1;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.000007;63.715656;0.011566;1201.082457;4.469083;18812.23757;110.101313;21050.30164;0.000208;1753.694259;0.600493;94610.49431;1;1;1;1;0
Q01970;PLCB3;0;1;1;1;36.87;1;83.63035973;15.70637687;1;0.429;36.8;0.361;25;0;0;P11362;FGFR1;0;1;1;1;0;0;0;76.04377134;21.53273348;0.317;15.9;0.281;12.3;0;1;1;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.003035;2141.881463;7.426886;26234.10864;0.036307;24960.0693;0.029301;27132.2124;1;0;1;0;0
Q15147;PLCB4;0;0;1;0;0;1;85.93371952;8.596565614;1;0.324;23.7;0.286;16.8;0;0;P10721;KIT;1;1;1;1;0;1;2.25;78.83606221;15.53398058;0.194;2.7;0.188;4.3;0;0;1;0;0;0;1;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0.00065;12628.53075;0;0;2.371876;40339.09798;0.03531;14140.4277;0.014865;15137.85004;1;0;1;1;0
Q07869;PPARA;1;1;1;0;0;1;81.10834576;20.29580937;1;0.172;6.4;0.19;12.8;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2.047397;709.310406;0.011566;1201.082457;0.008332;1153.563271;110.101313;21050.30164;0.611052;122105.0424;0.600493;94610.49431;1;1;1;0;0
P30153;PPP2R1A;0;1;1;0;0;1;95.14651588;0.764525994;1;0.139;0;0.122;1.2;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;0;1;1;0;0;0;1;0;0;0;16;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.002912;1073.50455;0.145107;400.491567;0.273997;17983.59937;5.018503;82862.83379;3.155329;37800.27514;1;1;0;0;0
Q00005;PPP2R2B;0;1;1;0;0;1;90.41175498;4.504257072;1;0.258;5.4;0.231;5;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;0;1;1;0;0;0;1;0;0;0;11;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.002912;1073.50455;0.000015;0;0.273997;17983.59937;0.059434;9133.393841;3.155329;37800.27514;1;0;0;1;0
P22694;PKAc;1;1;1;0;0;1;95.62886207;1.009046625;1;0.143;3.1;0.169;4.3;0;0;P15056;BRAF;1;1;1;1;0;1;4.44;68.03876342;35.93328841;0.352;28.6;0.327;26.5;1;1;1;1;0;0;1;0;0;0;8;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0.087703;10069.12276;0.002912;1073.50455;12.964701;4029.602534;0.273997;17983.59937;0.671383;947733.5018;3.155329;37800.27514;1;0;0;0;0
Q04759;PRKCQ;0;1;1;0;0;1;79.85454261;15.02003833;1;0.168;2;0.165;4.8;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;0;1;1;0;0;0;1;0;0;0;15;0;0;1;0;0;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0.011566;1201.082457;30.5422;21176.63179;110.101313;21050.30164;0.017866;86023.91894;0.600493;94610.49431;1;0;1;0;0
P63000;RAC1;1;1;1;1;7.29;1;93.69618852;0.597609562;1;0.162;0;0.168;3.6;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;23;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.319446;43236.32298;0.011566;1201.082457;40.142799;191443.5461;110.101313;21050.30164;1.981119;838744.7539;0.600493;94610.49431;1;1;1;1;0
P15153;RAC2;0;1;1;0;0;1;93.54570756;2.325581395;1;0.165;0;0.165;3.6;0;0;P00519;ABL1;1;1;1;1;0;1;1.5;63.12244709;47.76119403;0.498;45;0.415;40.5;0;1;1;0;0;0;1;0;0;0;12;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0.300277;6504.604944;0.086221;278.212494;24.845034;307930.868;0.07758;84330.34927;1.719448;104769.6459;1;0;1;0;0
O75943;RAD17;1;1;1;0;0;1;69.15872288;28.78759919;1;0.314;17.8;0.301;20.1;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.000002;0;0.011566;1201.082457;0.000052;0;110.101313;21050.30164;0.288961;3852.965263;0.600493;94610.49431;1;0;0;1;0
Q99638;RAD9;1;1;1;0;0;1;76.95814872;29.32708403;1;0.343;31.2;0.301;32;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.000302;240.661256;0.011566;1201.082457;0.026222;7466.381744;110.101313;21050.30164;0.099368;3862.581109;0.600493;94610.49431;0;0;0;0;0
P20936;RASGAP;1;1;1;0;0;1;78.11711106;15.40903541;1;0.248;8.2;0.225;6.9;0;0;P17948;FLT1;0;1;1;1;0;0;0;72.92583993;23.75283447;0.235;2.2;0.22;4.9;0;1;1;0;0;0;1;0;0;0;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.002698;7195.062207;0;0;1.934073;107.520446;4.153857;37.129494;0.005619;9084.71472;0;0.437648;1;0;0;1;0
